seller-sku	asin1	item-name	item-description	price	status	minimum-seller-allowed-price	maximum-seller-allowed-price
01-9004-LG	B094DSCL6Z	YakGear 01-9004-LG The Fish Stik - Lime Green		44.99	Active		
01-9004-SO	B073SCSZFJ	YakGear 01-9004-SO The Fish Stik - Orange		44.99	Active		
01-9004-Y	B073SCVH6J	YakGear 01-9004-Y The Fish Stik - Yellow		44.99	Active		
01.1332.9001-FBM	B07BRXYG6V	Old Town Canoes & Kayaks Lure Angler Men's Life Jacket (Gray, L/XL)		130.35	Active	94.69	159.99
01.1332.9010	B07F2L8JZH	Old Town Solitude Men's Life Jacket (Black, S/M)		93.34	Active	80.07	159.99
01.1332.9010-FBM	B07F2L8JZH	Old Town Solitude Men's Life Jacket (Black, S/M)		87.82	Active	80.07	159.99
01.1332.9013	B07F2M2WKK	Old Town Solitude Men's Life Jacket (Red, S/M)		87.82	Active	81.72	159.99
01.1332.9013-FBM	B07F2M2WKK	Old Town Solitude Men's Life Jacket (Red, S/M)		87.82	Active	81.72	159.99
01.1332.9014-FBM	B07F2KMBHP	Old Town Canoes & Kayaks Solitude Men's Life Jacket (Red, L/XL)		87.82	Active	79.71	159.99
01.1332.9015-FBM	B07F7771X5	Old Town Canoes & Kayaks Solitude Men's Life Jacket (Red, XXL/XXXL)		87.82	Active	78.49	159.99
01.1332.9016	B07F2JR6B5	Old Town Solitude Women's Life Jacket (Grape, XS)		91.87	Active	91.87	159.99
01.1332.9016-FBM	B07F2JR6B5	Old Town Solitude Women's Life Jacket (Grape, XS)		91.87	Active	91.87	159.99
01.1332.9019-FBA	B07F2LGL9N	Old Town Solitude Women's Life Jacket (Silver, XS)		87.82	Active	82.02	159.99
01.1332.9019-FBM	B07F2LGL9N	Old Town Solitude Women's Life Jacket (Silver, XS)		87.82	Active	82.02	159.99
01.1332.9020-FBM	B07FB59RJL	Old Town Solitude Women's Life Jacket (Silver, S/M)		87.82	Active	81.72	159.99
01.1332.9039-FBM	B07L9HV7WP	Old Town Canoes & Kayaks Outfitter Universal Unisex Life Jacket (Red)		69.99	Active		
01.1332.9041-FBM	B07D4RFRZK	Old Town Canoes & Kayaks Outfitter Universal Unisex Life Jacket (Royal)		69.99	Active		
01.1332.9042	B07HR297JC	Old Town Canoes & Kayaks Inlet Jr. Kids' Life Jacket (Red)		99.99	Active	89.99	109.99
01.1332.9053	B09R9B2S2J	Old Town Treble Angler Sportsman Personal Flotation Device, One Size, Silver		92.95	Active	69.06	104.99
01.1332.9057-stickerless	B0B9HT6KGX	Old Town Lure Angler II Men's Life Jacket 2022 (Moss, S/M)		179.99	Active		
01.2509.3665-FBM	B001AI69KQ	Carlisle Paddle Gear Magic Plus Kayak Paddle (Sunrise, 230 cm)		124.98	Active	124.0	124.99
01.2509.3900-FBA	B00KOLSUR0	Carlisle Magic Plus Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, Black Cherry, 220cm		94.94	Active	75.64	124.99
01.2509.3905-FBA	B005W3CNXC	Carlisle Magic Plus Kayak Paddle with Polypropylene Blades and Wrapped Fiberglass Shaft, 230cm - Black Cherry		124.99	Active	124.0	124.99
