(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0B326WJ83,B0B326WJ83,"Black Hall Outfitters Spare Prop Kit Compatible with Old Town Sportsman PDL, Old Town Topwater PDL, Old Town Predator PDL, and Ocean Kayak Malibu PDL Kayaks",210000033923-FBA,859,18,0.29%,0.33%,"1,160",28,0.28%,0.36%,99.48%,100.00%,146,3,17.00%,16.67%,"$4,968.58",$104.97,125,2
B084L4X7BK,B084L4RWGL,"Nomad Design Madmacs Offshore High Speed Fishing Lure, Trolling Minnow, with Super Strong BKK Hooks and Heavy Duty Split Rings, Autotune System, 200mm/8 Sinking - Pink Mackerel",MADMACS200-PM,736,17,0.25%,0.31%,915,23,0.22%,0.30%,94.10%,63.64%,69,2,9.38%,11.76%,"$3,032.55",$87.90,62,2
B07PYCV1VH,B07BRXYG6V,"Old Town Canoes & Kayaks Lure Angler Men's Life Jacket (Gray, L/XL)",01.1332.9001-FBA-NEW,"3,305",46,1.11%,0.83%,"4,955",74,1.20%,0.96%,98.87%,100.00%,60,2,1.82%,4.35%,"$8,419.40",$279.98,59,2
B09RKQGKJM,B07XF3C25H,"Nomad Design DTX Minnow Patented Autotune System-Distressed Baitfish Swimming Action, Hydrospeed Belly Eyelet Faster Trolling, BKK Diablo 5X Singles 13/0 Hooks, 220 SNK 9, 50ft, Hot Pink Mackerel",DTX220-S-HPM,806,28,0.27%,0.51%,"1,044",36,0.25%,0.47%,85.17%,77.78%,62,3,7.69%,10.71%,"$3,091.33",$149.82,55,3
B0B327TDB2,B0B327TDB2,"Black Hall Outfitters Spare Prop Kit Compatible With Old Town Sportsman Powered By Minn Kota, Old Town Sportsman Autopilot 120/136, Old Town Predator MK | Includes Nut, Washer, Propeller, & Shear Pins",210000033924-FBA,321,11,0.11%,0.20%,431,13,0.10%,0.17%,99.54%,92.31%,52,1,16.20%,9.09%,"$1,819.48",$34.99,51,1
B0CCQDWLSG,B01M16K56E,NRS Neko Knife,47311.01.101,"1,812",37,0.61%,0.67%,"2,789",50,0.67%,0.65%,41.48%,38.00%,63,12,3.48%,32.43%,"$2,472.12",$470.88,49,1
B09XJ9Q5ZR,B09XJ9Q5ZR,"Boonedox Groovy T-Bone Pick Up Truck Bed Extender Hitch Mount for Kayaks, Canoes, Ladders, Lumber",BDX-GTBO-FBA,"1,213",18,0.41%,0.33%,"1,776",25,0.43%,0.32%,80.97%,48.00%,44,1,3.63%,5.56%,"$10,884.44",$244.99,44,1
B09RKQGKJM,B07XGZJD4M,"Nomad Design DTX Minnow Patented Autotune System-Distressed Baitfish Swimming Action, Hydrospeed Belly Eyelet Faster Trolling, BKK Diablo 5X Singles 13/0 Hooks, 220 SNK 9, 50ft, Black Pink Mackerel",DTX220-S-BPM,557,23,0.19%,0.42%,670,26,0.16%,0.34%,79.52%,82.35%,43,1,7.72%,4.35%,"$2,147.42",$49.94,39,1
B07PYCV1VH,B07BRXYG6V,"Old Town Canoes & Kayaks Lure Angler Men's Life Jacket (Gray, L/XL)",01.1332.9001-FBM,"3,305",46,1.11%,0.83%,"4,955",74,1.20%,0.96%,98.87%,100.00%,39,3,1.18%,6.52%,"$5,103.80",$391.05,38,2
B0B326WJ83,B0B326WJ83,"Black Hall Outfitters Spare Prop Kit Compatible with Old Town Sportsman PDL, Old Town Topwater PDL, Old Town Predator PDL, and Ocean Kayak Malibu PDL Kayaks",210000033923,859,18,0.29%,0.33%,"1,160",28,0.28%,0.36%,99.48%,100.00%,40,0,4.66%,0.00%,"$1,399.60",$0.00,36,0
B09RKQGKJM,B07X8S6ZBY,"Nomad Design DTX Minnow with Patented Autotune System - Distressed Baitfish Swimming Action, Hydrospeed Belly Eyelet Faster Trolling, BKK Diablo 5X Singles 13/0 Hooks, 220 SNK 9, 50ft, Pink Mackerel",DTX220-S-PM,388,18,0.13%,0.33%,484,22,0.12%,0.28%,87.24%,57.14%,39,2,10.05%,11.11%,"$1,888.50",$99.88,35,2
B09RKQGKJM,B07XBVDWLZ,"Nomad Design DTX Minnow with Patented Autotune System - Distressed Baitfish Swimming Action, Hydrospeed Belly Eyelet for Faster Trolling, BKK Diablo 5X Singles 13/0 Hooks, 220 SNK 9, 50ft, Phantom",DTX220-S-PHT,404,14,0.14%,0.25%,518,21,0.13%,0.27%,85.89%,75.00%,35,1,8.66%,7.14%,"$1,747.90",$49.94,33,1
B07X5BDKKY,B07X5BDKKY,"Nomad Design Madmacs - 240mm/10 Sinking High Speed - BKK Hooks - Trolling, Minnow, Silver Green Mackerel",MADMACS240-SGM-FBA,331,10,0.11%,0.18%,476,14,0.12%,0.18%,97.90%,100.00%,34,0,10.27%,0.00%,"$1,418.14",$0.00,32,0
B084L4X7BK,B07X13BV65,"Nomad Design Madmacs Offshore High Speed Fishing Lure, Trolling Minnow, with Super Strong BKK Hooks and Heavy Duty Split Rings, Autotune System, 200mm/8 Sinking - Silver Green Mackerel",MADMACS200-SGM,564,15,0.19%,0.27%,646,19,0.16%,0.25%,70.69%,75.00%,33,2,5.85%,13.33%,"$1,432.48",$86.94,31,2
