Shipment ID	FBA17V8DHS7C
Name	FBA STA (03/24/2024 17:15)-ABE8
Plan ID	
Ship To	ABE8
Total SKUs	12
Total Units	304

Merchant SKU	Title	ASIN	FNSKU	external-id 	Condition	Who will prep?	Prep Type	Who will label?	Shipped
DTX220-S-BPM	Nomad Design DTX Minnow Patented Autotune System-Distressed Baitfish Swimming Action, Hydrospeed Belly Eyelet Faster Trolling, BKK Diablo 5X Singles 13/0 Hooks, 220 SNK 9, 50ft, Black Pink Mackerel	B07XGZJD4M	B07XGZJD4M	EAN: 9351482017705	New	No prep required	"--"	No prep required	12
DTX220-S-GG	Nomad Design DTX Minnow with Patented Autotune System - Distressed Baitfish Swimming Action, Hydrospeed Belly Eyelet for Faster Trolling, BKK Diablo 5X Singles 13/0 Hooks, 220 SNK 9, 50ft, Gold Glow	B07XCZMNHC	B07XCZMNHC	EAN: 9351482017637	New	Merchant	No prep required	No prep required	14
DTX220-S-HPM	Nomad Design DTX Minnow Patented Autotune System-Distressed Baitfish Swimming Action, Hydrospeed Belly Eyelet Faster Trolling, BKK Diablo 5X Singles 13/0 Hooks, 220 SNK 9, 50ft, Hot Pink Mackerel	B07XF3C25H	B07XF3C25H	EAN: 9351482017675	New	No prep required	"--"	No prep required	32
DTX220-S-PM	Nomad Design DTX Minnow with Patented Autotune System - Distressed Baitfish Swimming Action, Hydrospeed Belly Eyelet Faster Trolling, BKK Diablo 5X Singles 13/0 Hooks, 220 SNK 9, 50ft, Pink Mackerel	B07X8S6ZBY	B07X8S6ZBY	EAN: 9351482017699	New	No prep required	"--"	No prep required	16
DTX220-S-WHOO	Nomad Design DTX Minnow with Patented Autotune System - Distressed Baitfish Swimming Action, Hydrospeed Belly Eyelet for Faster Trolling, BKK Diablo 5X Singles 13/0 Hooks, 220 SNK 9, 50ft, Wahooligan	B08R5QM91K	B08R5QM91K	EAN: 9351482019556	New	No prep required	"--"	No prep required	8
DTX220-SAR	Nomad Design DTX Minnow with Patented Autotune System - Distressed Baitfish Swimming Action, Hydrospeed Belly Eyelet for Faster Trolling, BKK Diablo 5X Singles 13/0 Hooks, 220 SNK 9, 50ft, Sardine	B07XF31VJP	B07XF31VJP	EAN: 9351482017682	New	Merchant	No prep required	No prep required	32
MADMACS200-NCT	Nomad Design Madmacs Offshore High Speed Fishing Lure, Trolling Minnow, with Super Strong BKK Hooks and Heavy Duty Split Rings, Autotune System, 200mm/8 Sinking - Nuclear Coral Trout	B07X13DN4D	B07X13DN4D	EAN: 9351482017583	New	Merchant	No prep required	No prep required	9
MADMACS200-OM	Nomad Design Madmacs Offshore High Speed Fishing Lure, Trolling Minnow, with Super Strong BKK Hooks and Heavy Duty Split Rings, Autotune System, 200mm/8 Sinking - Orange Mackerel	B084L5CB55	B084L5CB55	EAN: 9351482017590	New	Merchant	No prep required	No prep required	36
MADMACS200-PHT-MFN	Nomad Design Madmacs Offshore High Speed Fishing Lure, Trolling Minnow, with Super Strong BKK Hooks and Heavy Duty Split Rings, Autotune System, 200mm/8 Sinking - Phantom	B07X2781D3	B07X2781D3	EAN: 9351482017606	New	Merchant	No prep required	No prep required	54
MADMACS240-BPM-FBA	Nomad Design Madmacs Offshore High Speed Fishing Lure, Trolling Minnow, with Super Strong BKK Hooks and Heavy Duty Split Rings, Autotune System, 240mm/10 Sinking - Black Pink Mackerel	B07X5DF5Y2	B07X5DF5Y2	EAN: 9351482017477	New	Merchant	No prep required	No prep required	16
MADMACS240-NCT	Nomad Design Madmacs Offshore High Speed Fishing Lure, Trolling Minnow, with Super Strong BKK Hooks and Heavy Duty Split Rings, Autotune System, 240mm/10 Sinking - Nuclear Coral Trout	B07X13DBY6	B07X13DBY6	EAN: 9351482017507	New	Merchant	No prep required	No prep required	40
MADMACS240-PHT	Nomad Design Madmacs Offshore High Speed Fishing Lure, Trolling Minnow, with Super Strong BKK Hooks and Heavy Duty Split Rings, Autotune System, 240mm/10 Sinking - Phantom	B084L4YRNS	B084L4YRNS	EAN: 9351482017521	New	Merchant	No prep required	No prep required	35
